# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 76K of event 'task-clock:ppp'
# Event count (approx.): 19038250000
#
# Overhead  Command     Shared Object         Symbol                                          
# ........  ..........  ....................  ................................................
#
     0.00%  test_gprof  libc.so.6             [.] __restore_rt
     0.00%  test_gprof  [kernel.kallsyms]     [k] __bitmap_weight
     0.00%  test_gprof  [kernel.kallsyms]     [k] _copy_from_user
     0.00%  test_gprof  [kernel.kallsyms]     [k] _copy_to_user
     0.00%  test_gprof  [kernel.kallsyms]     [k] _find_next_and_bit
     0.00%  test_gprof  [kernel.kallsyms]     [k] bio_put
     0.00%  test_gprof  [kernel.kallsyms]     [k] blk_stat_add
     0.00%  test_gprof  [kernel.kallsyms]     [k] blk_stat_timer_fn
     0.00%  test_gprof  [kernel.kallsyms]     [k] ext4_mb_mark_context
     0.00%  test_gprof  [kernel.kallsyms]     [k] fpu__restore_sig
     0.00%  test_gprof  [kernel.kallsyms]     [k] lruvec_stat_mod_folio.constprop.0
     0.00%  test_gprof  [kernel.kallsyms]     [k] process_timeout
     0.00%  test_gprof  [kernel.kallsyms]     [k] sched_balance_domains
     0.00%  test_gprof  [kernel.kallsyms]     [k] schedule
     0.00%  test_gprof  [kernel.kallsyms]     [k] tmigr_handle_remote_up
     0.00%  test_gprof  [kernel.kallsyms]     [k] truncate_folio_batch_exceptionals
     0.00%  test_gprof  [kernel.kallsyms]     [k] tty_write
     0.00%  test_gprof  ld-linux-x86-64.so.2  [.] init_cpu_features.constprop.0
     0.00%  test_gprof  libc.so.6             [.] __strlen_avx2


#
# (Cannot load tips.txt file, please install perf!)
#
